model_name,term,coefficient,std_error,ci_lower,ci_upper,p_value,incidence_rate_ratio,incidence_rate_ratio_ci_lower,incidence_rate_ratio_ci_upper,term_label
Negative Binomial GLM for length of stay,severity_score,0.639,0.0429,0.5548,0.7231,0.0,1.8945,1.7416,2.0609,Severity score
Negative Binomial GLM for length of stay,is_emergency_admission_int,0.0058,0.0749,-0.1411,0.1526,0.9385,1.0058,0.8684,1.1649,Emergency admission
Negative Binomial GLM for length of stay,older_adult_70plus,0.1239,0.076,-0.025,0.2729,0.1029,1.1319,0.9753,1.3137,Age 70 or older
Negative Binomial GLM for length of stay,haematologic_cancer,0.5186,0.0934,0.3355,0.7017,0.0,1.6797,1.3986,2.0172,Haematologic cancer
